"","Plot","Light","Nutrients","Thin","Block"
"1",1,"Tie-backs","Fertilized","Thinned","1"
"2",2,"Shade","No fert","Thinned","1"
"3",3,"Shade","Fertilized","Thinned","1"
"4",4,"Ambient","Fertilized","Thinned","1"
"5",5,"Tie-backs","No fert","Thinned","1"
"6",6,"Shade","No fert","Not thinned","1"
"7",7,"Ambient","No fert","Thinned","1"
"8",8,"Ambient","Fertilized","Not thinned","1"
"9",9,"Shade","Fertilized","Not thinned","1"
"10",10,"Tie-backs","Fertilized","Not thinned","1"
"11",11,"Tie-backs","No fert","Not thinned","1"
"12",12,"Ambient","No fert","Not thinned","1"
"13",13,"Tie-backs","No fert","Thinned","2"
"14",14,"Tie-backs","Fertilized","Thinned","2"
"15",15,"Ambient","Fertilized","Thinned","2"
"16",16,"Ambient","No fert","Thinned","2"
"17",17,"Shade","No fert","Not thinned","2"
"18",18,"Shade","Fertilized","Not thinned","2"
"19",19,"Tie-backs","Fertilized","Not thinned","2"
"20",20,"Shade","No fert","Thinned","2"
"21",21,"Shade","Fertilized","Thinned","2"
"22",22,"Ambient","Fertilized","Not thinned","2"
"23",23,"Tie-backs","No fert","Not thinned","2"
"24",24,"Ambient","No fert","Not thinned","2"
"25",25,"Tie-backs","Fertilized","Thinned","3"
"26",26,"Ambient","Fertilized","Thinned","3"
"27",27,"Ambient","No fert","Thinned","3"
"28",28,"Tie-backs","No fert","Not thinned","3"
"29",29,"Shade","Fertilized","Thinned","3"
"30",30,"Shade","No fert","Not thinned","3"
"31",31,"Shade","No fert","Thinned","3"
"32",32,"Tie-backs","Fertilized","Not thinned","3"
"33",33,"Tie-backs","No fert","Thinned","3"
"34",34,"Ambient","Fertilized","Not thinned","3"
"35",35,"Ambient","No fert","Not thinned","3"
"36",36,"Shade","Fertilized","Not thinned","3"
"37",37,"Shade","Fertilized","Not thinned","4"
"38",38,"Tie-backs","No fert","Thinned","4"
"39",39,"Shade","Fertilized","Thinned","4"
"40",40,"Ambient","Fertilized","Thinned","4"
"41",41,"Tie-backs","Fertilized","Not thinned","4"
"42",42,"Shade","No fert","Thinned","4"
"43",43,"Ambient","No fert","Thinned","4"
"44",44,"Tie-backs","Fertilized","Thinned","4"
"45",45,"Shade","No fert","Not thinned","4"
"46",46,"Tie-backs","No fert","Not thinned","4"
"47",47,"Ambient","Fertilized","Not thinned","4"
"48",48,"Ambient","No fert","Not thinned","4"
"49",49,"Shade","No fert","Not thinned","5"
"50",50,"Tie-backs","Fertilized","Thinned","5"
"51",51,"Shade","No fert","Thinned","5"
"52",52,"Ambient","No fert","Not thinned","5"
"53",53,"Ambient","Fertilized","Not thinned","5"
"54",54,"Tie-backs","No fert","Not thinned","5"
"55",55,"Ambient","Fertilized","Thinned","5"
"56",56,"Shade","Fertilized","Thinned","5"
"57",57,"Tie-backs","No fert","Thinned","5"
"58",58,"Tie-backs","Fertilized","Not thinned","5"
"59",59,"Shade","Fertilized","Not thinned","5"
"60",60,"Ambient","No fert","Thinned","5"
"61",61,"Tie-backs","No fert","Thinned","6"
"62",62,"Shade","Fertilized","Thinned","6"
"63",63,"Tie-backs","Fertilized","Thinned","6"
"64",64,"Tie-backs","No fert","Not thinned","6"
"65",65,"Ambient","Fertilized","Not thinned","6"
"66",66,"Tie-backs","Fertilized","Not thinned","6"
"67",67,"Ambient","No fert","Thinned","6"
"68",68,"Ambient","Fertilized","Thinned","6"
"69",69,"Shade","Fertilized","Not thinned","6"
"70",70,"Shade","No fert","Not thinned","6"
"71",71,"Ambient","No fert","Not thinned","6"
"72",72,"Shade","No fert","Thinned","6"
"73",73,"Ambient","Fertilized","Not thinned","7"
"74",74,"Shade","No fert","Not thinned","7"
"75",75,"Shade","No fert","Thinned","7"
"76",76,"Tie-backs","No fert","Thinned","7"
"77",77,"Shade","Fertilized","Thinned","7"
"78",78,"Tie-backs","Fertilized","Not thinned","7"
"79",79,"Tie-backs","Fertilized","Thinned","7"
"80",80,"Tie-backs","No fert","Not thinned","7"
"81",81,"Ambient","Fertilized","Thinned","7"
"82",82,"Shade","Fertilized","Not thinned","7"
"83",83,"Ambient","No fert","Thinned","7"
"84",84,"Ambient","No fert","Not thinned","7"
"85",85,"Shade","No fert","Not thinned","8"
"86",86,"Tie-backs","No fert","Not thinned","8"
"87",87,"Tie-backs","Fertilized","Thinned","8"
"88",88,"Shade","Fertilized","Not thinned","8"
"89",89,"Ambient","Fertilized","Not thinned","8"
"90",90,"Tie-backs","No fert","Thinned","8"
"91",91,"Ambient","No fert","Not thinned","8"
"92",92,"Shade","Fertilized","Thinned","8"
"93",93,"Ambient","No fert","Thinned","8"
"94",94,"Ambient","Fertilized","Thinned","8"
"95",95,"Shade","No fert","Thinned","8"
"96",96,"Tie-backs","Fertilized","Not thinned","8"
"97",97,"Ambient","No fert","Not thinned","9"
"98",98,"Ambient","Fertilized","Not thinned","9"
"99",99,"Shade","Fertilized","Thinned","9"
"100",100,"Shade","No fert","Thinned","9"
"101",101,"Tie-backs","Fertilized","Thinned","9"
"102",102,"Ambient","Fertilized","Thinned","9"
"103",103,"Shade","No fert","Not thinned","9"
"104",104,"Tie-backs","No fert","Thinned","9"
"105",105,"Tie-backs","No fert","Not thinned","9"
"106",106,"Shade","Fertilized","Not thinned","9"
"107",107,"Ambient","No fert","Thinned","9"
"108",108,"Tie-backs","Fertilized","Not thinned","9"
"109",109,"Shade","Fertilized","Thinned","10"
"110",110,"Shade","No fert","Thinned","10"
"111",111,"Ambient","No fert","Not thinned","10"
"112",112,"Ambient","Fertilized","Thinned","10"
"113",113,"Tie-backs","Fertilized","Thinned","10"
"114",114,"Ambient","Fertilized","Not thinned","10"
"115",115,"Tie-backs","No fert","Thinned","10"
"116",116,"Tie-backs","No fert","Not thinned","10"
"117",117,"Ambient","No fert","Thinned","10"
"118",118,"Shade","Fertilized","Not thinned","10"
"119",119,"Shade","No fert","Not thinned","10"
"120",120,"Tie-backs","Fertilized","Not thinned","10"
"121",121,"Shade","No fert","Thinned","11"
"122",122,"Shade","No fert","Not thinned","11"
"123",123,"Ambient","Fertilized","Thinned","11"
"124",124,"Shade","Fertilized","Thinned","11"
"125",125,"Tie-backs","No fert","Not thinned","11"
"126",126,"Shade","Fertilized","Not thinned","11"
"127",127,"Ambient","Fertilized","Not thinned","11"
"128",128,"Tie-backs","Fertilized","Thinned","11"
"129",129,"Ambient","No fert","Not thinned","11"
"130",130,"Tie-backs","No fert","Thinned","11"
"131",131,"Tie-backs","Fertilized","Not thinned","11"
"132",132,"Ambient","No fert","Thinned","11"
"133",133,"Tie-backs","Fertilized","Thinned","12"
"134",134,"Tie-backs","No fert","Not thinned","12"
"135",135,"Ambient","Fertilized","Thinned","12"
"136",136,"Tie-backs","Fertilized","Not thinned","12"
"137",137,"Ambient","Fertilized","Not thinned","12"
"138",138,"Ambient","No fert","Thinned","12"
"139",139,"Shade","No fert","Not thinned","12"
"140",140,"Shade","Fertilized","Not thinned","12"
"141",141,"Shade","No fert","Thinned","12"
"142",142,"Ambient","No fert","Not thinned","12"
"143",143,"Shade","Fertilized","Thinned","12"
"144",144,"Tie-backs","No fert","Thinned","12"
"145",145,"Tie-backs","No fert","Thinned","13"
"146",146,"Ambient","No fert","Thinned","13"
"147",147,"Tie-backs","No fert","Not thinned","13"
"148",148,"Ambient","Fertilized","Thinned","13"
"149",149,"Ambient","Fertilized","Not thinned","13"
"150",150,"Shade","Fertilized","Thinned","13"
"151",151,"Tie-backs","Fertilized","Thinned","13"
"152",152,"Shade","Fertilized","Not thinned","13"
"153",153,"Shade","No fert","Not thinned","13"
"154",154,"Tie-backs","Fertilized","Not thinned","13"
"155",155,"Shade","No fert","Thinned","13"
"156",156,"Ambient","No fert","Not thinned","13"
"157",157,"Shade","Fertilized","Not thinned","14"
"158",158,"Shade","No fert","Not thinned","14"
"159",159,"Shade","No fert","Thinned","14"
"160",160,"Shade","Fertilized","Thinned","14"
"161",161,"Tie-backs","No fert","Thinned","14"
"162",162,"Ambient","Fertilized","Not thinned","14"
"163",163,"Tie-backs","No fert","Not thinned","14"
"164",164,"Tie-backs","Fertilized","Thinned","14"
"165",165,"Ambient","No fert","Not thinned","14"
"166",166,"Ambient","No fert","Thinned","14"
"167",167,"Ambient","Fertilized","Thinned","14"
"168",168,"Tie-backs","Fertilized","Not thinned","14"
"169",169,"Ambient","Fertilized","Thinned","15"
"170",170,"Ambient","Fertilized","Not thinned","15"
"171",171,"Tie-backs","Fertilized","Not thinned","15"
"172",172,"Ambient","No fert","Thinned","15"
"173",173,"Shade","Fertilized","Thinned","15"
"174",174,"Ambient","No fert","Not thinned","15"
"175",175,"Shade","No fert","Thinned","15"
"176",176,"Tie-backs","Fertilized","Thinned","15"
"177",177,"Shade","Fertilized","Not thinned","15"
"178",178,"Shade","No fert","Not thinned","15"
"179",179,"Tie-backs","No fert","Not thinned","15"
"180",180,"Tie-backs","No fert","Thinned","15"
"181",181,"Shade","Fertilized","Not thinned","16"
"182",182,"Tie-backs","Fertilized","Not thinned","16"
"183",183,"Shade","No fert","Thinned","16"
"184",184,"Tie-backs","No fert","Not thinned","16"
"185",185,"Tie-backs","No fert","Thinned","16"
"186",186,"Shade","Fertilized","Thinned","16"
"187",187,"Tie-backs","Fertilized","Thinned","16"
"188",188,"Ambient","Fertilized","Not thinned","16"
"189",189,"Ambient","No fert","Thinned","16"
"190",190,"Shade","No fert","Not thinned","16"
"191",191,"Ambient","Fertilized","Thinned","16"
"192",192,"Ambient","No fert","Not thinned","16"
"193",193,"Shade","Fertilized","Thinned","17"
"194",194,"Shade","No fert","Thinned","17"
"195",195,"Tie-backs","Fertilized","Not thinned","17"
"196",196,"Shade","No fert","Not thinned","17"
"197",197,"Ambient","Fertilized","Thinned","17"
"198",198,"Ambient","No fert","Thinned","17"
"199",199,"Shade","Fertilized","Not thinned","17"
"200",200,"Tie-backs","No fert","Not thinned","17"
"201",201,"Tie-backs","No fert","Thinned","17"
"202",202,"Ambient","No fert","Not thinned","17"
"203",203,"Tie-backs","Fertilized","Thinned","17"
"204",204,"Ambient","Fertilized","Not thinned","17"
